,title,price,link
10,"ASUS Vivobook Go 15 (2023), AMD Ryzen 5 7520U, 15.6"" (39.62 cm) FHD, Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office 2021/Alexa Built-in/Mixed Black/1.63 kg), E1504FA-NJ542WS  ","42,990",https://amazon.in//ASUS-Vivobook-Laptop-Windows-E1504FA-NJ542WS/dp/B0BTWF2BQX/ref=sr_1_82?crid=31YSUI75O8L51&dib=eyJ2IjoiMSJ9.qeXdtQ5LxKCNQSJG6T1mbHj_LqKuXnWYo7q-_ASD72RMNV75bW0cMxwpw-JkidcAL6Cls21hq2ZS0fwhoPa1cy12ZOTIihe4FkgHZ88DiJ8TYqfSoXuEU4RY9Y4UGwMil2tzi7ZdadbjTwkj2fK-aJ1MONxLye6BRlbdtvphgLGrh3zh7C-IMeXuPIlQFUZA0oRgM9YY2G6p0ZwpKFhQjMirLvwso7BWGp9ndtXxpr8.CyD02kiKqMGm3g2OIiIg3Rj8nJKdTf2q84SCz7wEp_w&dib_tag=se&keywords=laptop&qid=1723917985&sprefix=lapt%2Caps%2C239&sr=8-82
11,"(Refurbished) Fujitsu Laptop H770 Intel QuadCore i7-7th Gen Xeon E3-1505M V6 @ 3.0 Ghz Processor4GB Nvidia Quadro M2200 Graphic (32GB RAM/128GB SSD/15.6"" FHD (1080p)/Win 10/BT/ Numeric Keypad/ Silver)  ","28,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4NzIyNTMwMzEzMzAxMDIzOjE3MjM5MTc5OTA6c3BfYXRmX25leHQ6MzAwMjg2MzcwMTc0MzMyOjowOjo&url=%2FRefurbished-Fujitsu-QuadCore-E3-1505M-Processor4GB%2Fdp%2FB0DC46NHCS%2Fref%3Dsr_1_81_sspa%3Fcrid%3D31YSUI75O8L51%26dib%3DeyJ2IjoiMSJ9.D0MJmfQGtcS0UViMCPkrqwZsa--23UoTP43cCfpwfUQWAXUivRQfdfnoqc_hNRPHhEQ-azyk1j-2ajC1kHOmSpNRkwmNQ1U3I-20fcPN-6tT0nyfAZvY6l6XeIrb-h9xUiRRgEhl6yf0rWIyuyojHfsC0n28WunXIqZYGnXdiSAcXGmxDRvgiMwZp7bsbGG8DkhOsyJAQWGM4M2Kg33H1bu0jYA6srufoKRvwCa4YUk.Pv47urWB0DepVjO1jeWZeKONe7jl7YYbSzr-Jq3FSag%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1723917990%26sprefix%3Dlapt%252Caps%252C239%26sr%3D8-81-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
12,"(Refurbished) Dell Precision 7510 Intel Core i7 - 6920HQ Quad Core Processor, 16 GB Ram & 2TB SSD, 15.6 Inches (Numeric Keypad) FHD Screen with Dual Intel & Nvidia Quadro M2000M (4GB Graphic ) Laptop  ","52,590",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4NzIyNTMwMzEzMzAxMDIzOjE3MjM5MTc5OTA6c3BfYXRmX25leHQ6MzAwMTUzOTI5NzI1NTMyOjowOjo&url=%2FRefurbished-Dell-Precision-7510-Intel%2Fdp%2FB0CZDSX2JQ%2Fref%3Dsr_1_82_sspa%3Fcrid%3D31YSUI75O8L51%26dib%3DeyJ2IjoiMSJ9.D0MJmfQGtcS0UViMCPkrqwZsa--23UoTP43cCfpwfUQWAXUivRQfdfnoqc_hNRPHhEQ-azyk1j-2ajC1kHOmSpNRkwmNQ1U3I-20fcPN-6tT0nyfAZvY6l6XeIrb-h9xUiRRgEhl6yf0rWIyuyojHfsC0n28WunXIqZYGnXdiSAcXGmxDRvgiMwZp7bsbGG8DkhOsyJAQWGM4M2Kg33H1bu0jYA6srufoKRvwCa4YUk.Pv47urWB0DepVjO1jeWZeKONe7jl7YYbSzr-Jq3FSag%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1723917990%26sprefix%3Dlapt%252Caps%252C239%26sr%3D8-82-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
13,"(Refurbished) Lenovo ThinkPad 5th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 10 Pro/MS Office/WiFi/Webcam/Intel Graphics), Black  ","14,189",https://amazon.in//Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR495DW5/ref=sr_1_8?crid=31YSUI75O8L51&dib=eyJ2IjoiMSJ9.VD-XFhPX3Cbc9vkghsNwZqjkwr89_P1eZfoLF5mgcxAXUNROBVNK5LTVCuIKMZcdqwiaLKg-Cm-nYFMIHlqy34lm5Ha_j5K0wTyLsFqdYgRF9mGa2ephpPLr_pqF88Z4jczcXXIdm3oQyyWGHO7OryJgSySFas7aDDjJhwXO9_Myv2n5lOAQlzq-jngStoiwr0YLz7suyEcVo0olvdDUUeP4w41UKWMj2JtYxyI6Ux8.Q1QN1dzFFgNtSmqoJnfQhkuzg6KI5EDPvfZxO6iis3M&dib_tag=se&keywords=laptop&qid=1723917965&sprefix=lapt%2Caps%2C239&sr=8-8
14,"ASUS Vivobook 16 (2023)Thin & Light Laptop,Intel Core i9-13900H 13th Gen, 16"" (40.64 cm) FHD+(16GB RAM/512GB SSD/Intel Iris Xe/Win 11/Office 2021/Backlit KB/Fingerprint/Black/1.88 kg) X1605VA-MB947WS  ","94,990",https://amazon.in//ASUS-Vivobook-i9-13900H-Fingerprint-X1605VA-MB947WS/dp/B0CHMZRC89/ref=sr_1_83?crid=31YSUI75O8L51&dib=eyJ2IjoiMSJ9.D0MJmfQGtcS0UViMCPkrqwZsa--23UoTP43cCfpwfUQWAXUivRQfdfnoqc_hNRPHhEQ-azyk1j-2ajC1kHOmSpNRkwmNQ1U3I-20fcPN-6tT0nyfAZvY6l6XeIrb-h9xUiRRgEhl6yf0rWIyuyojHfsC0n28WunXIqZYGnXdiSAcXGmxDRvgiMwZp7bsbGG8DkhOsyJAQWGM4M2Kg33H1bu0jYA6srufoKRvwCa4YUk.Pv47urWB0DepVjO1jeWZeKONe7jl7YYbSzr-Jq3FSag&dib_tag=se&keywords=laptop&qid=1723917990&sprefix=lapt%2Caps%2C239&sr=8-83
15,"Lenovo IdeaPad 1 Intel Core Celeron N4020 15"" HD Thin and Light Laptop (8GB/512GB SDD/Windows 11 Home/Office 2021/1Yr Warranty/Cloud Grey/1.3Kg), 82V700ECIN  ","25,900",https://amazon.in//Lenovo-IdeaPad-Celeron-Warranty-82V700ECIN/dp/B0CWRS3XRB/ref=sr_1_84?crid=31YSUI75O8L51&dib=eyJ2IjoiMSJ9.D0MJmfQGtcS0UViMCPkrqwZsa--23UoTP43cCfpwfUQWAXUivRQfdfnoqc_hNRPHhEQ-azyk1j-2ajC1kHOmSpNRkwmNQ1U3I-20fcPN-6tT0nyfAZvY6l6XeIrb-h9xUiRRgEhl6yf0rWIyuyojHfsC0n28WunXIqZYGnXdiSAcXGmxDRvgiMwZp7bsbGG8DkhOsyJAQWGM4M2Kg33H1bu0jYA6srufoKRvwCa4YUk.Pv47urWB0DepVjO1jeWZeKONe7jl7YYbSzr-Jq3FSag&dib_tag=se&keywords=laptop&qid=1723917990&sprefix=lapt%2Caps%2C239&sr=8-84
16,"Lenovo IdeaPad Pro 5 Intel Evo Core Ultra 9 185H Built-in AI 14"" (35.56cm) 2.8K-OLED 400Nits 120Hz Laptop (32GB/1TB SSD/Win11/MSO 21/FHD+IR Camera/1Yr ADP Free/3 Mon Game Pass/Grey/1.4Kg), 83D2001GIN  ","1,09,990",https://amazon.in//Lenovo-IdeaPad-35-56cm-2-8K-OLED-83D2001GIN/dp/B0CY2LDT1S/ref=sr_1_85?crid=31YSUI75O8L51&dib=eyJ2IjoiMSJ9.D0MJmfQGtcS0UViMCPkrqwZsa--23UoTP43cCfpwfUQWAXUivRQfdfnoqc_hNRPHhEQ-azyk1j-2ajC1kHOmSpNRkwmNQ1U3I-20fcPN-6tT0nyfAZvY6l6XeIrb-h9xUiRRgEhl6yf0rWIyuyojHfsC0n28WunXIqZYGnXdiSAcXGmxDRvgiMwZp7bsbGG8DkhOsyJAQWGM4M2Kg33H1bu0jYA6srufoKRvwCa4YUk.Pv47urWB0DepVjO1jeWZeKONe7jl7YYbSzr-Jq3FSag&dib_tag=se&keywords=laptop&qid=1723917990&sprefix=lapt%2Caps%2C239&sr=8-85
17,"ASUS Vivobook 15, 15.6"" (39.62cm) FHD, Intel Core i7-12700H 12th Gen, Thin and Light Laptop (16GB/512GB SSD/Icelight Silver/1.7 Kg), X1502ZA-EJ745WS  ","57,990",https://amazon.in//ASUS-Vivobook-i7-12700H-Icelight-X1502ZA-EJ745WS/dp/B0D3LSSQ96/ref=sr_1_86?crid=31YSUI75O8L51&dib=eyJ2IjoiMSJ9.D0MJmfQGtcS0UViMCPkrqwZsa--23UoTP43cCfpwfUQWAXUivRQfdfnoqc_hNRPHhEQ-azyk1j-2ajC1kHOmSpNRkwmNQ1U3I-20fcPN-6tT0nyfAZvY6l6XeIrb-h9xUiRRgEhl6yf0rWIyuyojHfsC0n28WunXIqZYGnXdiSAcXGmxDRvgiMwZp7bsbGG8DkhOsyJAQWGM4M2Kg33H1bu0jYA6srufoKRvwCa4YUk.Pv47urWB0DepVjO1jeWZeKONe7jl7YYbSzr-Jq3FSag&dib_tag=se&keywords=laptop&qid=1723917990&sprefix=lapt%2Caps%2C239&sr=8-86
18,"Dell 15 Thin & Light Laptop, Intel Core i5-1334U Processor, 16GB DDR4 + 1TB SSD, 15.6"" (39.62cm) FHD 120Hz 250 nits Display, Backlit KB, Windows 11 + MSO'21, 15 Months McAfee, Platinum Silver, 1.65kg  ","59,899",https://amazon.in//Dell-i5-1334U-Processor-39-62cm-Platinum/dp/B0D83D2QSC/ref=sr_1_87?crid=31YSUI75O8L51&dib=eyJ2IjoiMSJ9.D0MJmfQGtcS0UViMCPkrqwZsa--23UoTP43cCfpwfUQWAXUivRQfdfnoqc_hNRPHhEQ-azyk1j-2ajC1kHOmSpNRkwmNQ1U3I-20fcPN-6tT0nyfAZvY6l6XeIrb-h9xUiRRgEhl6yf0rWIyuyojHfsC0n28WunXIqZYGnXdiSAcXGmxDRvgiMwZp7bsbGG8DkhOsyJAQWGM4M2Kg33H1bu0jYA6srufoKRvwCa4YUk.Pv47urWB0DepVjO1jeWZeKONe7jl7YYbSzr-Jq3FSag&dib_tag=se&keywords=laptop&qid=1723917990&sprefix=lapt%2Caps%2C239&sr=8-87
19,"Dell 15 Thin & Light Laptop, Intel Core 13th Generation i5-1334U Processor, 16GB DDR4 & 512GB SSD, 15.6"" (39.62cm) FHD 120Hz 250 nits, Windows 11 + MSO'21 + 15 Month Mcafee, Carbon Black, 1.66kg  ","54,697",https://amazon.in//Dell-Generation-i5-1334U-Processor-39-62cm/dp/B0D46QQHW6/ref=sr_1_88?crid=31YSUI75O8L51&dib=eyJ2IjoiMSJ9.D0MJmfQGtcS0UViMCPkrqwZsa--23UoTP43cCfpwfUQWAXUivRQfdfnoqc_hNRPHhEQ-azyk1j-2ajC1kHOmSpNRkwmNQ1U3I-20fcPN-6tT0nyfAZvY6l6XeIrb-h9xUiRRgEhl6yf0rWIyuyojHfsC0n28WunXIqZYGnXdiSAcXGmxDRvgiMwZp7bsbGG8DkhOsyJAQWGM4M2Kg33H1bu0jYA6srufoKRvwCa4YUk.Pv47urWB0DepVjO1jeWZeKONe7jl7YYbSzr-Jq3FSag&dib_tag=se&keywords=laptop&qid=1723917990&sprefix=lapt%2Caps%2C239&sr=8-88
20,"(Refurbished) Lenovo ThinkPad 8th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics)  ","17,019",https://amazon.in//Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR49QPM9/ref=sr_1_89?crid=31YSUI75O8L51&dib=eyJ2IjoiMSJ9.D0MJmfQGtcS0UViMCPkrqwZsa--23UoTP43cCfpwfUQWAXUivRQfdfnoqc_hNRPHhEQ-azyk1j-2ajC1kHOmSpNRkwmNQ1U3I-20fcPN-6tT0nyfAZvY6l6XeIrb-h9xUiRRgEhl6yf0rWIyuyojHfsC0n28WunXIqZYGnXdiSAcXGmxDRvgiMwZp7bsbGG8DkhOsyJAQWGM4M2Kg33H1bu0jYA6srufoKRvwCa4YUk.Pv47urWB0DepVjO1jeWZeKONe7jl7YYbSzr-Jq3FSag&dib_tag=se&keywords=laptop&qid=1723917990&sprefix=lapt%2Caps%2C239&sr=8-89
21,"HP Laptop 14, Intel Core Ultra 5 125H, Built-in AI, 14-inch (35.6 cm), FHD, 16GB DDR5, 512GB SSD, Intel Arc Graphics, 1080p FHD Camera w/Privacy Shutter, Backlit KB (Win 11, Silver, 1.4 kg), gr1022TU  ","70,490",https://amazon.in//HP-14-inch-Graphics-Privacy-gr1022TU/dp/B0D8J8H131/ref=sr_1_90?crid=31YSUI75O8L51&dib=eyJ2IjoiMSJ9.D0MJmfQGtcS0UViMCPkrqwZsa--23UoTP43cCfpwfUQWAXUivRQfdfnoqc_hNRPHhEQ-azyk1j-2ajC1kHOmSpNRkwmNQ1U3I-20fcPN-6tT0nyfAZvY6l6XeIrb-h9xUiRRgEhl6yf0rWIyuyojHfsC0n28WunXIqZYGnXdiSAcXGmxDRvgiMwZp7bsbGG8DkhOsyJAQWGM4M2Kg33H1bu0jYA6srufoKRvwCa4YUk.Pv47urWB0DepVjO1jeWZeKONe7jl7YYbSzr-Jq3FSag&dib_tag=se&keywords=laptop&qid=1723917990&sprefix=lapt%2Caps%2C239&sr=8-90
22,"MSI Thin A15, AMD 7th Gen. Ryzen 5 7535HS, 40CM Gaming Laptop(8GB/512GB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX 2050, 4GB GDDR6/Cosmos Gray/1.86Kg), B7UCX-216IN  ","47,990",https://amazon.in//MSI-7535HS-Windows-GeForce-B7UCX-216IN/dp/B0D2HZV716/ref=sr_1_91?crid=31YSUI75O8L51&dib=eyJ2IjoiMSJ9.D0MJmfQGtcS0UViMCPkrqwZsa--23UoTP43cCfpwfUQWAXUivRQfdfnoqc_hNRPHhEQ-azyk1j-2ajC1kHOmSpNRkwmNQ1U3I-20fcPN-6tT0nyfAZvY6l6XeIrb-h9xUiRRgEhl6yf0rWIyuyojHfsC0n28WunXIqZYGnXdiSAcXGmxDRvgiMwZp7bsbGG8DkhOsyJAQWGM4M2Kg33H1bu0jYA6srufoKRvwCa4YUk.Pv47urWB0DepVjO1jeWZeKONe7jl7YYbSzr-Jq3FSag&dib_tag=se&keywords=laptop&qid=1723917990&sprefix=lapt%2Caps%2C239&sr=8-91
23,"(Refurbished) Dell Latitude 5290 7th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM/512 GB SSD/12.5"" (31.8 cm) HD/Windows 11/MS Office/WiFi/BT/Intel UHD Graphics)  ","18,999",https://amazon.in//Refurbished-Dell-Latitude-Windows-Graphics/dp/B0D8CMQJC4/ref=sr_1_92?crid=31YSUI75O8L51&dib=eyJ2IjoiMSJ9.D0MJmfQGtcS0UViMCPkrqwZsa--23UoTP43cCfpwfUQWAXUivRQfdfnoqc_hNRPHhEQ-azyk1j-2ajC1kHOmSpNRkwmNQ1U3I-20fcPN-6tT0nyfAZvY6l6XeIrb-h9xUiRRgEhl6yf0rWIyuyojHfsC0n28WunXIqZYGnXdiSAcXGmxDRvgiMwZp7bsbGG8DkhOsyJAQWGM4M2Kg33H1bu0jYA6srufoKRvwCa4YUk.Pv47urWB0DepVjO1jeWZeKONe7jl7YYbSzr-Jq3FSag&dib_tag=se&keywords=laptop&qid=1723917990&sprefix=lapt%2Caps%2C239&sr=8-92
